,Measured Temp (C),Profile
398,21.0,30
399,21.0,30
400,20.0,30
401,21.0,30
402,20.0,30
403,20.0,30
404,20.0,30
405,21.0,30
406,20.0,30
407,20.0,30
408,20.0,30
409,20.0,30
410,20.0,30
411,20.0,30
412,21.0,30
413,20.0,30
414,21.0,30
415,21.0,30
416,20.0,30
417,20.0,30
418,21.0,30
419,21.0,30
420,20.0,30
421,20.0,30
422,21.0,30
423,20.0,30
424,20.0,30
425,20.0,30
426,20.0,30
427,20.0,30
428,20.0,30
429,20.0,30
430,20.0,30
431,20.0,30
432,20.0,30
433,20.0,30
434,20.0,30
435,20.0,30
436,20.0,30
437,21.0,30
438,21.0,30
439,21.0,30
440,21.0,30
441,21.0,30
442,20.0,30
443,20.0,30
444,21.0,30
445,20.0,30
446,21.0,30
447,20.0,30
448,21.0,30
449,21.0,30
450,20.0,30
451,21.0,30
452,21.0,30
453,21.0,30
454,20.0,30
455,21.0,30
456,20.0,30
457,21.0,30
458,20.0,30
459,20.0,30
460,20.0,30
461,21.0,30
462,21.0,30
463,20.0,30
464,20.0,30
465,20.0,30
466,21.0,30
467,20.0,30
468,21.0,30
469,21.0,30
470,20.0,30
471,21.0,30
472,21.0,30
473,21.0,30
474,20.0,30
475,20.0,30
476,21.0,30
477,20.0,30
478,20.0,30
479,20.0,30
480,20.0,30
481,20.0,30
482,21.0,30
483,20.0,30
484,20.0,30
485,20.0,30
486,21.0,30
487,20.0,30
488,20.0,30
489,21.0,30
490,20.0,30
491,21.0,30
492,20.0,30
493,21.0,30
494,20.0,30
495,20.0,30
496,20.0,30
497,20.0,30
498,20.0,30
499,20.0,30
500,20.0,30
501,20.0,30
502,21.0,30
503,20.0,30
504,21.0,30
505,21.0,30
506,21.0,30
507,21.0,30
508,20.0,30
509,20.0,30
510,20.0,30
511,21.0,30
512,21.0,30
513,21.0,30
514,21.0,30
515,20.0,30
516,20.0,30
517,20.0,30
518,21.0,30
519,21.0,30
520,20.0,30
521,20.0,30
522,20.0,30
523,21.0,30
524,21.0,30
525,21.0,30
526,21.0,30
527,21.0,30
528,20.0,30
529,21.0,30
530,21.0,30
531,21.0,30
532,20.0,30
533,21.0,30
534,21.0,30
535,21.0,30
536,21.0,30
537,20.0,30
538,20.0,30
539,20.0,30
540,20.0,30
541,21.0,30
542,20.0,30
543,21.0,30
544,21.0,30
545,20.0,30
546,21.0,30
547,21.0,30
548,21.0,30
549,20.0,30
550,20.0,30
551,21.0,30
552,20.0,30
553,21.0,30
554,20.0,30
555,21.0,30
556,20.0,30
557,20.0,30
558,20.0,30
559,20.0,30
560,20.0,30
561,21.0,30
562,21.0,30
563,21.0,30
564,20.0,30
565,20.0,30
566,20.0,30
567,21.0,30
568,21.0,30
569,20.0,30
570,20.0,30
571,20.0,30
572,20.0,30
573,21.0,30
574,20.0,30
575,21.0,30
576,21.0,30
577,21.0,30
578,21.0,30
579,20.0,30
580,21.0,30
581,20.0,30
582,21.0,30
583,20.0,30
584,20.0,30
585,21.0,30
586,21.0,30
587,20.0,30
588,20.0,30
589,20.0,30
590,20.0,30
591,20.0,30
592,20.0,30
593,21.0,30
594,21.0,30
595,21.0,30
596,20.0,30
597,20.0,30
598,20.0,30
599,20.0,30
600,21.0,30
601,20.0,30
602,21.0,30
603,21.0,30
604,20.0,30
605,21.0,30
606,21.0,30
607,20.0,30
608,20.0,30
609,21.0,30
610,21.0,30
611,20.0,30
612,20.0,30
613,20.0,30
614,20.0,30
615,20.0,30
616,20.0,30
617,21.0,30
618,21.0,30
619,20.0,30
620,21.0,30
621,21.0,30
622,21.0,30
623,20.0,30
624,21.0,30
625,21.0,30
626,21.0,30
627,21.0,30
628,20.0,30
629,21.0,30
630,21.0,30
631,20.0,30
632,20.0,30
633,21.0,30
634,20.0,30
635,20.0,30
636,20.0,30
637,20.0,30
638,20.0,30
639,21.0,30
640,21.0,30
641,20.0,30
642,20.0,30
643,20.0,30
644,20.0,30
645,21.0,30
646,21.0,30
647,21.0,30
648,21.0,30
649,20.0,30
650,21.0,30
651,21.0,30
652,21.0,30
653,21.0,30
654,21.0,30
655,21.0,30
656,20.0,30
657,20.0,30
658,20.0,30
659,20.0,30
660,20.0,30
661,20.0,30
662,20.0,30
663,20.0,30
664,21.0,30
665,21.0,30
666,20.0,30
667,20.0,30
668,21.0,30
669,21.0,30
670,20.0,30
671,21.0,30
672,21.0,30
673,20.0,30
674,21.0,30
675,21.0,30
676,20.0,30
677,20.0,30
678,21.0,30
679,20.0,30
680,20.0,30
681,21.0,30
682,20.0,30
683,20.0,30
684,20.0,30
685,20.0,30
686,20.0,30
687,20.0,30
688,21.0,30
689,21.0,30
690,21.0,30
691,21.0,30
692,20.0,30
693,20.0,30
694,20.0,30
695,20.0,30
696,21.0,30
697,21.0,30
698,20.0,30
699,20.0,30
700,20.0,30
701,20.0,30
702,20.0,30
703,20.0,30
704,21.0,30
705,20.0,30
706,21.0,30
707,21.0,30
708,21.0,30
709,20.0,30
710,21.0,30
711,20.0,30
712,21.0,30
713,20.0,30
714,20.0,30
715,20.0,30
716,20.0,30
717,21.0,30
718,20.0,30
719,21.0,30
720,20.0,30
721,20.0,30
722,21.0,30
723,21.0,30
724,20.0,30
725,20.0,30
726,21.0,30
727,21.0,30
728,20.0,30
729,21.0,30
730,20.0,30
731,20.0,30
732,21.0,30
733,20.0,30
734,21.0,30
735,20.0,30
736,20.0,30
737,20.0,30
738,21.0,30
739,21.0,30
740,21.0,30
741,21.0,30
742,21.0,30
743,20.0,30
744,21.0,30
745,21.0,30
746,20.0,30
747,21.0,30
748,21.0,30
749,20.0,30
750,20.0,30
751,21.0,30
752,20.0,30
753,21.0,30
754,21.0,30
755,20.0,30
756,20.0,30
757,21.0,30
758,20.0,30
759,21.0,30
760,21.0,30
761,20.0,30
762,21.0,30
763,20.0,30
764,21.0,30
765,20.0,30
766,21.0,30
767,20.0,30
768,21.0,30
769,21.0,30
770,19.0,30
771,21.0,30
772,20.0,30
773,21.0,30
774,20.0,30
775,20.0,30
776,21.0,30
777,20.0,30
778,21.0,30
779,20.0,30
780,20.0,30
781,21.0,30
782,20.0,30
783,20.0,30
784,20.0,30
785,21.0,30
786,20.0,30
787,21.0,30
788,20.0,30
789,20.0,30
790,21.0,30
791,20.0,30
792,20.0,30
793,20.0,30
794,21.0,30
795,21.0,30
796,20.0,30
797,20.0,30
798,20.0,30
799,20.0,30
800,20.0,30
801,21.0,30
802,21.0,30
803,21.0,30
804,20.0,30
805,20.0,30
806,20.0,30
807,21.0,30
808,21.0,30
809,20.0,30
810,21.0,30
811,21.0,30
812,20.0,30
813,21.0,30
814,21.0,30
815,21.0,30
816,20.0,30
817,20.0,30
818,20.0,30
819,20.0,30
820,21.0,30
821,20.0,30
822,20.0,30
823,20.0,30
824,20.0,30
825,21.0,30
826,21.0,30
827,21.0,30
828,20.0,30
829,20.0,30
830,21.0,30
831,20.0,30
832,21.0,30
833,20.0,30
834,20.0,30
835,21.0,30
836,20.0,30
837,21.0,30
838,21.0,30
839,20.0,30
840,20.0,30
841,20.0,30
842,21.0,30
843,20.0,30
844,20.0,30
845,20.0,30
846,20.0,30
847,20.0,30
848,21.0,30
849,20.0,30
850,21.0,30
851,21.0,30
852,20.0,30
853,20.0,30
854,20.0,30
855,21.0,30
856,21.0,30
857,20.0,30
858,21.0,30
859,20.0,30
860,21.0,30
861,20.0,30
862,21.0,30
863,20.0,30
864,20.0,30
865,20.0,30
866,21.0,30
867,20.0,30
868,21.0,30
869,20.0,30
870,20.0,30
871,21.0,30
872,20.0,30
873,21.0,30
874,20.0,30
875,20.0,30
876,20.0,30
877,21.0,30
878,21.0,30
879,20.0,30
880,21.0,30
881,20.0,30
882,20.0,30
883,20.0,30
884,20.0,30
885,20.0,30
886,20.0,30
887,20.0,30
888,20.0,30
889,20.0,30
890,20.0,30
891,20.0,30
892,20.0,30
893,21.0,30
894,21.0,30
895,21.0,30
896,21.0,30
897,21.0,30
898,21.0,30
899,20.0,30
900,20.0,30
901,20.0,30
902,21.0,30
903,21.0,30
904,21.0,30
905,21.0,30
906,20.0,30
907,21.0,30
908,21.0,30
909,21.0,30
910,21.0,30
911,20.0,30
912,20.0,30
913,21.0,30
914,20.0,30
915,20.0,30
916,21.0,30
917,21.0,30
918,20.0,30
919,20.0,30
920,21.0,30
921,20.0,30
922,20.0,30
923,21.0,30
924,21.0,30
925,21.0,30
926,20.0,30
927,20.0,30
928,21.0,30
929,20.0,30
930,20.0,30
931,21.0,30
932,21.0,30
933,21.0,30
934,20.0,30
935,21.0,30
936,21.0,30
937,20.0,30
938,21.0,30
939,20.0,30
940,20.0,30
941,20.0,30
942,20.0,30
943,21.0,30
944,20.0,30
945,21.0,30
946,20.0,30
947,21.0,30
948,21.0,30
949,21.0,30
950,21.0,30
951,20.0,30
952,20.0,30
953,21.0,30
954,20.0,30
955,20.0,30
956,21.0,30
957,21.0,30
958,20.0,30
959,20.0,30
960,20.0,30
961,21.0,30
962,21.0,30
963,21.0,30
964,20.0,30
965,21.0,30
966,20.0,30
967,21.0,30
968,21.0,30
969,21.0,30
970,21.0,30
971,20.0,30
972,20.0,30
973,20.0,30
974,21.0,30
975,21.0,30
976,20.0,30
977,20.0,30
978,20.0,30
979,20.0,30
980,20.0,30
981,21.0,30
982,20.0,30
983,21.0,30
984,21.0,30
985,21.0,30
986,21.0,30
987,21.0,30
988,21.0,30
989,20.0,30
990,20.0,30
991,21.0,30
992,21.0,30
993,21.0,30
994,20.0,30
995,20.0,30
996,21.0,30
997,21.0,30
998,20.0,30
999,21.0,30
1000,21.0,30
1001,20.0,30
1002,20.0,30
1003,20.0,30
1004,21.0,30
1005,20.0,30
1006,20.0,30
1007,21.0,30
1008,21.0,30
1009,21.0,30
1010,20.0,30
1011,20.0,30
1012,21.0,30
1013,20.0,30
1014,20.0,30
1015,21.0,30
1016,21.0,30
1017,20.0,30
1018,21.0,30
1019,20.0,30
1020,21.0,30
1021,20.0,30
1022,21.0,30
1023,20.0,30
1024,20.0,30
1025,20.0,30
1026,20.0,30
1027,21.0,30
1028,20.0,30
1029,21.0,30
1030,21.0,30
1031,21.0,30
1032,21.0,30
1033,20.0,30
1034,20.0,30
1035,20.0,30
1036,20.0,30
1037,21.0,30
1038,21.0,30
1039,20.0,30
1040,21.0,30
1041,20.0,30
1042,20.0,30
1043,20.0,30
1044,20.0,30
1045,20.0,30
1046,20.0,30
1047,21.0,30
1048,20.0,30
1049,20.0,30
1050,20.0,30
1051,21.0,30
1052,21.0,30
1053,20.0,30
1054,21.0,30
1055,21.0,30
1056,21.0,30
1057,21.0,30
1058,20.0,30
1059,20.0,30
1060,20.0,30
1061,20.0,30
1062,21.0,30
1063,20.0,30
1064,20.0,30
1065,21.0,30
1066,20.0,30
1067,21.0,30
1068,21.0,30
1069,21.0,30
1070,20.0,30
1071,20.0,30
1072,20.0,30
1073,21.0,30
1074,21.0,30
1075,21.0,30
1076,20.0,30
1077,21.0,30
1078,20.0,30
1079,20.0,30
1080,20.0,30
1081,20.0,30
1082,21.0,30
1083,21.0,30
1084,20.0,30
1085,20.0,30
1086,20.0,30
1087,20.0,30
1088,20.0,30
1089,21.0,30
1090,20.0,30
1091,21.0,30
1092,21.0,30
1093,20.0,30
1094,20.0,30
1095,21.0,30
1096,21.0,30
1097,21.0,30
1098,20.0,30
1099,20.0,30
1100,20.0,30
1101,20.0,30
1102,20.0,30
1103,20.0,30
1104,20.0,30
1105,20.0,30
1106,21.0,30
1107,20.0,30
1108,20.0,30
1109,20.0,30
1110,21.0,30
1111,20.0,30
1112,21.0,30
1113,21.0,30
1114,20.0,30
1115,21.0,30
1116,20.0,30
1117,21.0,30
1118,21.0,30
1119,21.0,30
1120,20.0,30
1121,20.0,30
1122,20.0,30
1123,20.0,30
1124,20.0,30
1125,20.0,30
1126,21.0,30
1127,21.0,30
1128,21.0,30
1129,21.0,30
1130,20.0,30
1131,21.0,30
1132,20.0,30
1133,21.0,30
1134,20.0,30
1135,20.0,30
1136,21.0,30
1137,21.0,30
1138,21.0,30
1139,21.0,30
1140,21.0,30
1141,21.0,30
1142,20.0,30
1143,20.0,30
1144,21.0,30
1145,21.0,30
1146,21.0,30
1147,21.0,30
1148,21.0,30
1149,21.0,30
1150,21.0,30
1151,22.0,30
1152,22.0,30
1153,21.0,30
1154,22.0,30
1155,21.0,30
1156,22.0,30
1157,22.0,30
1158,22.0,30
1159,22.0,30
1160,22.0,30
1161,22.0,30
1162,23.0,30
1163,22.0,30
1164,23.0,30
1165,23.0,30
1166,22.0,30
1167,23.0,30
1168,23.0,30
1169,22.0,30
1170,23.0,30
1171,23.0,30
1172,22.0,30
1173,23.0,30
1174,23.0,30
1175,23.0,30
1176,23.0,30
1177,23.0,30
1178,23.0,30
1179,23.0,30
1180,23.0,30
1181,23.0,30
1182,23.0,30
1183,23.0,30
1184,23.0,30
1185,23.0,30
1186,23.0,30
1187,23.0,30
1188,23.0,30
1189,23.0,30
1190,24.0,30
1191,23.0,30
1192,24.0,30
1193,23.0,30
1194,23.0,30
1195,24.0,30
1196,24.0,30
1197,23.0,30
1198,24.0,30
1199,23.0,30
1200,23.0,30
1201,24.0,30
1202,23.0,30
